# AoA Mach CL CD
0.00000000 0.30000000 -0.03674262 -0.00326321
0.00000000 0.60000000 -0.03844033 -0.00167177
0.00000000 0.90000000 -0.04380446 -0.00111028
0.00000000 1.20000000 -0.03317105 0.00351837
0.00000000 1.50000000 -0.02042436 0.00325421
0.00000000 1.80000000 -0.01498511 0.00286112
0.05235988 0.30000000 0.06012731 -0.00087101
0.05235988 0.60000000 0.06007681 0.00068717
0.05235988 0.90000000 0.06201525 0.00131984
0.05235988 1.20000000 0.07678581 0.00653163
0.05235988 1.50000000 0.07926512 0.00649249
0.05235988 1.80000000 0.07658717 0.00609681
0.10471976 0.30000000 0.16012402 0.01161349
0.10471976 0.60000000 0.16264607 0.01323925
0.10471976 0.90000000 0.17463823 0.01509197
0.10471976 1.20000000 0.19222585 0.02113049
0.10471976 1.50000000 0.18241859 0.02007479
0.10471976 1.80000000 0.17040780 0.01881027
0.15707963 0.30000000 0.26844364 0.03580142
0.15707963 0.60000000 0.27710648 0.03833966
0.15707963 0.90000000 0.30213562 0.04314504
0.15707963 1.20000000 0.31724181 0.04932938
0.15707963 1.50000000 0.29101293 0.04531196
0.15707963 1.80000000 0.26564216 0.04157863
0.20943951 0.30000000 0.38779661 0.07408308
0.20943951 0.60000000 0.40589842 0.07906160
0.20943951 0.90000000 0.44492211 0.08864315
0.20943951 1.20000000 0.44991536 0.09287126
0.20943951 1.50000000 0.40349426 0.08330074
0.20943951 1.80000000 0.36395273 0.07544394
0.26179939 0.30000000 0.51623147 0.12821573
0.26179939 0.60000000 0.54356975 0.13679410
0.26179939 0.90000000 0.59330547 0.15202993
0.26179939 1.20000000 0.58300876 0.15165442
0.26179939 1.50000000 0.51611335 0.13429389
0.26179939 1.80000000 0.46217019 0.12070961
