# AoA Mach CL CD
0.05235988 0.30000000 0.06012731 0.00403664
0.05235988 0.60000000 0.06007681 0.00520070
0.05235988 0.90000000 0.06201525 0.00570369
0.05235988 1.30000000 0.07858703 0.01104330
0.05235988 1.80000000 0.07658717 0.01061831
0.10471976 0.30000000 0.16012402 0.01652113
0.10471976 0.60000000 0.16264607 0.01775279
0.10471976 0.90000000 0.17463823 0.01947582
0.10471976 1.30000000 0.18951438 0.02529362
0.10471976 1.80000000 0.17040780 0.02333177
0.15707963 0.30000000 0.26844364 0.04070906
0.15707963 0.60000000 0.27710648 0.04285319
0.15707963 0.90000000 0.30213562 0.04752889
0.15707963 1.30000000 0.30828530 0.05238934
0.15707963 1.80000000 0.26564216 0.04610013
0.20943951 0.30000000 0.38779661 0.07899073
0.20943951 0.60000000 0.40589842 0.08357514
0.20943951 0.90000000 0.44492211 0.09302699
0.20943951 1.30000000 0.43338238 0.09390442
0.20943951 1.80000000 0.36395273 0.07996544
