# AoA Mach CL CD
3.00000000 0.30000000 0.06012731 0.00403664
3.00000000 0.60000000 0.06007681 0.00520070
3.00000000 0.90000000 0.06201525 0.00570369
3.00000000 1.30000000 0.07858703 0.01104330
3.00000000 1.80000000 0.07658717 0.01061831
6.00000000 0.30000000 0.16012402 0.01652113
6.00000000 0.60000000 0.16264607 0.01775279
6.00000000 0.90000000 0.17463823 0.01947582
6.00000000 1.30000000 0.18951438 0.02529362
6.00000000 1.80000000 0.17040780 0.02333177
9.00000000 0.30000000 0.26844364 0.04070906
9.00000000 0.60000000 0.27710648 0.04285319
9.00000000 0.90000000 0.30213562 0.04752889
9.00000000 1.30000000 0.30828530 0.05238934
9.00000000 1.80000000 0.26564216 0.04610013
12.0000000 0.30000000 0.38779661 0.07899073
12.0000000 0.60000000 0.40589842 0.08357514
12.0000000 0.90000000 0.44492211 0.09302699
12.0000000 1.30000000 0.43338238 0.09390442
12.0000000 1.80000000 0.36395273 0.07996544
